Step,Time,Position_X,Position_Y,Position_Z,Tracking_Error_Norm,Control_Input_X,Control_Input_Y,Control_Input_Z
1.4800000000000004,5.281092624,5.499709,3.2297084,2.4504058,0.29149106,0.69931734,-0.17102782,0.013659051
1.4900000000000004,5.453455391,5.5726485,3.225228,2.4465861,0.26802602,0.7267107,-0.21995446,0.016941875
1.5000000000000004,5.547071962,5.6455884,3.220748,2.44275,0.28059128,0.71343493,-0.24803874,0.020254277
1.5100000000000005,5.638816244,5.710485,3.210877,2.438195,0.27440962,0.7046822,-0.2729729,0.024163377
1.5200000000000005,5.756445972,5.8402777,3.191135,2.4294474,0.2888326,0.6548994,-0.30146065,0.03144952
1.5300000000000005,5.856614104,5.9033012,3.166667,2.425912,0.27872223,0.6489328,-0.3219305,0.034607362
1.5400000000000005,5.952295217,5.9033012,3.166667,2.425912,0.2609131,0.6902852,-0.3620359,0.034953937
1.5500000000000005,6.04868535,5.960154,3.1514053,2.4224868,0.25971144,0.6856813,-0.39209706,0.038041256
1.5600000000000005,6.150271919,6.0231776,3.1269376,2.4200747,0.26214677,0.6771849,-0.4189429,0.040333487
1.5700000000000005,6.262686191,6.1553946,3.0687957,2.4189487,0.25033987,0.6163861,-0.42590147,0.04160928
1.5800000000000005,6.375271791,6.210375,3.0389373,2.4200115,0.244158,0.6155979,-0.45771712,0.04113827
1.5900000000000005,6.487773235,6.265355,3.0090787,2.4215918,0.24408561,0.613289,-0.49173933,0.040246263
1.6000000000000005,6.594256069,6.3407183,2.9661987,2.423264,0.24191232,0.59103656,-0.51432776,0.03927415
1.6100000000000005,6.697333562,6.3876553,2.9309494,2.4248114,0.241422,0.5888873,-0.54299915,0.03839722
1.6200000000000006,6.812693677,6.448806,2.8918848,2.4270444,0.24699591,0.57810116,-0.5773122,0.03696398
1.6300000000000006,6.913252677,6.509956,2.8528202,2.4304802,0.24943583,0.561029,-0.60506886,0.03455331
1.6400000000000006,7.022627423,6.563063,2.8083649,2.4351916,0.2514623,0.5517084,-0.6353294,0.031106293
1.6500000000000006,7.132552897,6.6303835,2.7600942,2.440376,0.25627947,0.5296621,-0.66462624,0.027259903
1.6600000000000006,7.240943523,6.689661,2.7064326,2.4459789,0.25656912,0.5120244,-0.6903326,0.02305515
1.6700000000000006,7.348107472,6.740895,2.6473806,2.4521286,0.25519213,0.4989602,-0.71249187,0.018386045
1.6800000000000006,7.463225787,6.845236,2.543873,2.4653425,0.23766424,0.443833,-0.70574945,0.00803658
1.6900000000000006,7.569730394,6.845236,2.543873,2.4653425,0.27760652,0.46824625,-0.77741665,0.008193167
1.7000000000000006,7.682576648,6.9619174,2.4219532,2.4787529,0.25322014,0.39940038,-0.75745493,-0.0023787897
1.7100000000000006,7.803115151,7.0051084,2.3575103,2.483823,0.25293306,0.38883862,-0.7898992,-0.00634268
1.7200000000000006,7.918471576,7.054469,2.2838614,2.4884303,0.2537179,0.3705149,-0.8127989,-0.009959824
1.7300000000000006,8.037718393,7.1038303,2.2102125,2.4924743,0.26037487,0.3510365,-0.8397012,-0.013147306
1.7400000000000007,8.210895714,7.202552,2.0629144,2.4985945,0.24476825,0.29791015,-0.84816426,-0.018013922
1.7500000000000007,8.333138865,7.2358265,1.978484,2.5020347,0.24304686,0.2867922,-0.8712644,-0.020765185
1.7600000000000007,8.431806986,7.2833147,1.8902382,2.5050173,0.24271302,0.25976458,-0.87472117,-0.023166524
1.7700000000000007,8.553823159,7.316589,1.8058078,2.5066245,0.24954112,0.24493948,-0.89923507,-0.024482986
